N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
670;27/02/2019;Real Madrid;Santiago Bernabéu;3-0532?;-;-;-;-;-;-;Copa del Rey 2018-19 Semifinales Vuelta;-;;-;90;2018/19512?
671;02/03/2019;Real Madrid;Santiago Bernabéu;1-0533?;-;-;-;-;-;-;LaLiga Santander 2018-19 Jornada 26;-;;-;90;2018/19512?
704;18/12/2019;Real Madrid;Camp Nou;0-0557?;-;-;-;-;-;-;LaLiga Santander 2019-20 Jornada 10;-;;-;90;2019/20544?
717;01/03/2020;Real Madrid;Santiago Bernabéu;0-2568?;;;;;;;LaLiga Santander 2019-20 Jornada 26;;Thibaut Courtois;;;2019/20544?
737;24/10/2020;Real Madrid;Camp Nou;1-3582?;;;;;;;LaLiga Santander 2020-21 Jornada 7;;Thibaut Courtois;;90;2020/21578?
770;10.4.2021;Real Madrid;Alfredo Di Stéfano;01-feb;;;;;;;LaLiga Santander 2020-21 Jornada 30;;Thibaut Courtois;;;2020/21578?
799;15.2.2022;Real Madrid;Parc des Princes;1-0;;;;;;;Liga de Campeones 2021-22 1/8 Ida;;;-;90;2021-22
803;9.3.2022;Real Madrid;Santiago Bernabéu;01-mar;;;;;;;Liga de Campeones 2021-22 1/8 Vuelta;;;-;90;2021-22
110;17/05/2008;Real Murcia;Nueva Condomina;5-3115?;;;-;;2 (4-1, 5-1);52, 66;La Liga 2007/08 Jornada 38;;;2 Giovani dos Santos;;2007/0876?
65;05/05/2007;Real Sociedad;Anoeta;2-069?;-;-;-;-;-;-;La Liga 2006/07 Jornada 33;;;;89;2006/0739?
236;12/12/2010;Real Sociedad;Camp Nou;5-0;2 (3-0, 4-0);47, 87;z (2);Dani Alves;-;-;Liga BBVA 2010/11 Jornada 15;;;;;2010/11188?
265;30/04/2011;Real Sociedad;Anoeta;1-2214?;;;-;;1 (1-0);29;Liga BBVA 2010/11 Jornada 34;;;Thiago;;2010/11188?
274;10/09/2011;Real Sociedad;Anoeta;2-2221?;;;-;;-;-;Liga BBVA 2011/12 Jornada 3; 61' ;;;;2011/12218?
305;05/02/2012;Real Sociedad;Camp Nou;2-1245?;1 (2-0);72;z;Dani Alves;1 (1-0);9;Liga BBVA 2011/12 Jornada 22;;;Tello;;2011/12218?
330;19/08/2012;Real Sociedad;Camp Nou;05-ene;2 (2-1, 3-1);11, 16;z (2);Pedro, Tello;-;-;Liga BBVA 2012/13 Jornada 1;;;;;2012/13263?
359;19/01/2013;Real Sociedad;Anoeta;2-3279?;1 (1-0);7;z;Iniesta;-;-;Liga BBVA 2012/13 Jornada 20;;;;;2012/13263?
387;24/09/2013;Real Sociedad;Camp Nou;4-1301?;1 (2-0);8;c;Neymar;1 (4-1);77;Liga BBVA 2013/14 Jornada 6; 80 Sergi Roberto';;Bartra;80;2013/14294?
403;05/02/2014;Real Sociedad;Camp Nou;2-0317?;-;-;-;-;-;-;Copa del Rey 2013/14 Semifinales Ida;;;-;90;2013/14294?
405;12/02/2014;Real Sociedad;Anoeta;1-1319?;1;27;z;-;-;-;Copa del Rey 2013/14 Semifinales Vuelta;-;;-;90;2013/14294?
408;22/02/2014;Real Sociedad;Anoeta;1-3322?;1 (1-1);36;z;Montoya;-;-;Liga BBVA 2013/14 Jornada 25;-;;-;90;2013/14294?
448;04/01/2015;Real Sociedad;Anoeta;0-1363?;-;-;;;;-;Liga BBVA 2014/15 Jornada 17; 45 Munir';;;45;2014/15341?
477;09/05/2015;Real Sociedad;Camp Nou;2-0;-;-;;;;-;Liga BBVA 2014/15 Jornada 36;;;;90;2014/15341?
495;28/11/2015;Real Sociedad;Camp Nou;4-0401?;1 (4-0);90+1;z;Neymar;;-;Liga BBVA 2015/16 Jornada 13;;;;90;2015/16391?
523;09/04/2016;Real Sociedad;Anoeta;0-1418?;-;-;;;;-;Liga BBVA 2015/16 Jornada 32;;;;90;2015/16391?
547;27/11/2016;Real Sociedad;Anoeta;1-1437?;1;59;z;Neymar;;;LaLiga Santander 2016/17 Jornada 13;;;;90;2016/17424?
556;19/01/2017;Real Sociedad;Anoeta;1-0446?;;;;;;;Copa del Rey 2016-17 Cuartos Ida;;;;90;2016/17424?
558;26/01/2017;Real Sociedad;Camp Nou;5-2448?;1 (2-0);55;p;;2;63, 82;Copa del Rey 2016-17 Cuartos Vuelta;;;Luis Suárez, Denis Suárez;90;2016/17424?
575;15/04/2017;Real Sociedad;Camp Nou;3-2465?;2 (1-0, 2-0);17, 37;z, r;Luis Suárez;1;44;LaLiga Santander 2016/17 Jornada 32;;;Alcácer;90;2016/17424?
611;14/01/2018;Real Sociedad;Anoeta;4-2494?;1 (4-2);85;TL;;1 (2-2);50;LaLiga Santander 2017-18 Jornada 19;;;Luis Suárez;90;2017/18475?
637;20/05/2018;Real Sociedad;Camp Nou;1-0;;;;;;;LaLiga Santander 2017-18 Jornada 38;;;;23;2017/18475?
642;15/09/2018;Real Sociedad;Anoeta;2-1514?;;;;;;;LaLiga Santander 2018-19 Jornada 4;;;;;2018/19512?
680;20/04/2019;Real Sociedad;Camp Nou;02-ene;-;-;-;-;1 (2-1);64;LaLiga Santander 2018-19 Jornada 33;-;;Jordi Alba;90;2018/19512?
703;14/12/2019;Real Sociedad;Anoeta;2-2556?;-;-;-;-;1;49 (2-1);LaLiga Santander 2019-20 Jornada 17;-;;Luis Suárez;90;2019/20544?
718;07/03/2020;Real Sociedad;Camp Nou;1-0569?;1;81;p;;;;LaLiga Santander 2019-20 Jornada 27;;;;;2019/20544?
747;16.12.2020;Real Sociedad;Camp Nou;02-ene;;;;;-;-;LaLiga Santander 2020-21 Jornada 19;;;;90;2020/21578?
768;21.3.2021;Real Sociedad;Anoeta;6-1603?;2 (4-0, 6-1);56, 89;z (2);Busquets, Jordi Alba;1 (2-0);44;LaLiga Santander 2020-21 Jornada 28;;;Dest;;2020/21578?
82;01/11/2007;Real Valladolid;José Zorrilla;1-187?;;;-;;-;-;La Liga 2007/08 Jornada 10;;;;;2007/0876?
123;08/11/2008;Real Valladolid;Camp Nou;6-0129?;;;-;;1;42;Liga BBVA 2008/09 Jornada 10;;;;;2008/09117?
150;04/04/2009;Real Valladolid;José Zorrilla;1-0;;;-;;-;-;Liga BBVA 2008/09 Jornada 29; 58';;;;2008/09117?
189;23/01/2010;Real Valladolid;José Zorrilla;3-0;1 (3-0);56;z;Ibrahimovic;1 (2-0);22;Liga BBVA 2009/10 Jornada 19;;;Dani Alves;;2009/10156?
214;16/05/2010;Real Valladolid;Camp Nou;4-0;2 (3-0, 4-0);62, 76;d, z;Yayá Touré (2);1 (2-0);31;Liga BBVA 2009/10 Jornada 38;;;Pedro;;2009/10156?
355;22/12/2012;Real Valladolid;José Zorrilla;03-ene;1 (2-0);59;z;Xavi;-;-;Liga BBVA 2012/13 Jornada 17;;;;;2012/13263?
410;08/03/2014;Real Valladolid;José Zorrilla;0-1324?;-;-;-;-;-;-;Liga BBVA 2013/14 Jornada 27;-;Diego Mariño;-;90;2013/14294?
640;25/08/2018;Real Valladolid;José Zorrilla;1-0;;;;;;;LaLiga Santander 2018-19 Jornada 2;;;;;2018/19512?
667;16/02/2019;Real Valladolid;Camp Nou;1-0529?;1;43;p;-;-;-;LaLiga Santander 2018-19 Jornada 24; 67';;-;90;2018/19512?
695;29/10/2019;Real Valladolid;Camp Nou;5-1550?;2 (3-1, 4-1);34, 75;TLz;Rakitic;2 (2-1, 5-1);29, 77;LaLiga Santander 2019-20 Jornada 11;-;;Arturo Vidal, Luis Suárez;90;2019/20544?
