N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
827;21.10.2022;A.C. Ajaccio;François-Coty;3-0;1;;;Neymar;2;;Ligue 1 2022-23 Jornada 12;;;;;2022-23609?
275;13/09/2011;A.C. Milan;Camp Nou;2-2222?;;;-;-;1;36;Liga de Campeones 2011/12 J1 FG;;;Pedro;90;2011/12218?
289;23/11/2011;A.C. Milan;San Siro;3-2233?;1 (2-1);31;p;-;1;63;Liga de Campeones 2011/12 J5 FG;;;Xavi;90;2011/12218?
316;28/03/2012;A.C. Milan;San Siro;0-0254?;-;-;-;-;-;-;Liga de Campeones 2011/12 CF Ida;;;-;90;2011/12218?
318;03/04/2012;A.C. Milan;Camp Nou;3-1256?;2 (1-0, 2-1);11, 41;;;-;-;Liga de Campeones 2011/12 CF Vuelta;;;;90;2011/12218?
366;20/02/2013;A.C. Milan;San Siro;0-2283?;;;-;;-;-;Liga de Campeones 2012/13 1/8 Ida;;;;90;2012/13263?
371;12/03/2013;A.C. Milan;Camp Nou;4-0287?;2 (1-0, 2-0);5, 39;z (2);Xavi, Iniesta;-;-;Liga de Campeones 2012/13 1/8 Vuelta;;;;90;2012/13263?
390;22/10/2013;A.C. Milan;San Siro;1-1304?;1;23;z;Iniesta;-;-;Liga de Campeones 2013/14 J3 FG;-;;-;90;2013/14294?
394;06/11/2013;A.C. Milan;Camp Nou;3-1308?;2 (1-0, 3-1);30, 83;p, z;Fábregas;;;Liga de Campeones 2013/14 J4 FG;-;;;90;2013/14294?
229;10/11/2010;A.D. Ceuta;Camp Nou;05-ene;1 (5-1);68;z;Thiago;-;-;Copa del Rey 2010/11 1/16 Vuelta; 61';;;;2010/11188?
831;13.11.2022;A.J. Auxerre;Parc des Princes;5-0;;;;;;;Ligue 1 2022-23 Jornada 15;;;;;2022-23609?
793;12.12.2021;A.S. Monaco;Parc des Princes;2-0;;;;;1 (2-0);45;Ligue 1 2021-22 Jornada 18;;;Mbappé;;2021-22
817;21.8.2022;A.S. Monaco;Parc des Princes;01-ene;;;;;;;Ligue 1 2022-23 Jornada 4;;;;;2022-23609?
489;16/09/2015;A.S. Roma;Olímpico de Roma;1-1396?;-;-;;;;-;Liga de Campeones 2015/16 FG;;;;90;2015/16391?
494;24/11/2015;A.S. Roma;Camp Nou;6-1400?;2 (2-0, 5-0);18, 59;z, r;Luis Suárez;1 (4-0);56;Liga de Campeones 2015/16 FG;;;Piqué;90;2015/16391?
628;04/04/2018;A.S. Roma;Camp Nou;4-1504?;;;;;;;Liga de Campeones 2017-18 CF Ida;;;;;2017/18475?
630;10/04/2018;A.S. Roma;Olímpico de Roma;0-3506?;;;;;;;Liga de Campeones 2017-18 CF Vuelta; 63';Alisson Becker;;90;2017/18475?
789;28.11.2021;A.S. Saint Etienne;Geoffroy-Guichard;03-ene;;;;;3;45+2, 79, 90+1;Ligue 1 2021-22 Jornada 15;;;Marquinhos (2), Di María;90;2021-22
801;26.2.2022;A.S. Saint Etienne;Parc des Princes;03-ene;;;;;2 (1-0, 2-0);42, 47;Ligue 1 2021-22 Jornada 26;;;Mbappé (2);90;2021-22
850;13.5.2023;Ajaccio;Parc des Princes;5-0;;;;;;;Ligue 1 2022-23 Jornada 35;;;;;2022-23609?
385;18/09/2013;Ajax Ámsterdam;Camp Nou;4-0299?;3 (1-0, 2-0, 4-0);22, 55, 75;TL, z (2);Busquets, Xavi;-;-;Liga de Campeones 2013/14 J1 FG;-;;-;90;2013/14294?
436;21/10/2014;Ajax Ámsterdam;Camp Nou;3-1351?;1;24;z;Neymar;1 (1-0);7;Liga de Campeones 2014/15 FG;-;;Neymar;90;2014/15341?
439;05/11/2014;Ajax Ámsterdam;Ámsterdam Arena;2-0354?;2;36, 76;z;Alba, Pedro;-;-;Liga de Campeones 2014/15 FG;-;;-;90;2014/15341?
294;15/12/2011;Al-Sadd;Yokohama;4-0237?;;;-;;1;64;Mundial de Clubes 2011 Semifinales;;;;;2011/12218?
6;11/12/2004;Albacete Balompié;Carlos Belmonte;2-18?;-;-;-;-;-;-;La Liga 2004/05 Jornada 15; 90+5' Damià;;-;1;2004/053?
9;01/05/2005;Albacete Balompié;Camp Nou;2-011?;1;90;z;Ronaldinho;-;-;La Liga 2004/05 Jornada 34; 88' Eto'o;;;3;2004/053?
848;21.4.2023;Angers;Raymond Kopa;02-ene;;;;;;;Ligue 1 2022-23 Jornada 32;;;;;2022-23609?
832;11.1.2023;Angers A.S.Q.;Parc des Princes;2-0;1;;;Mukiele;;;Ligue 1 2022-23 Jornada 18;;;;;2022-23609?
429;17/09/2014;APOEL Nicosia;Camp Nou;1-0344?;-;-;-;-;1;28;Liga de Campeones 2014/15 FG;;;Piqué;90;2014/15341?
442;25/11/2014;APOEL Nicosia;GSP;4-0357?;3;38, 58,87;d (3);Rafinha, Dani Alves, Pedro;-;-;Liga de Campeones 2014/15 FG;-;;-;90;2014/15341?
202;31/03/2010;Arsenal F.C.;Emirates;02-feb;;;-;;-;-;Liga de Campeones 2009/10 CF Ida; 86';;;;2009/10156?
204;06/04/2010;Arsenal F.C.;Camp Nou;4-1181?;4 (1-1, 2-1, 3-1, 4-1);21, 37, 42, 88;z, d, z, r;Pedro, Keita;-;-;Liga de Campeones 2009/10 CF Vuelta;;;;;2009/10156?
249;16/02/2011;Arsenal F.C.;Emirates;01-feb;;;-;;1 (1-0);26;Liga de Campeones 2010/11 1/8 Ida;;;Villa;;2010/11188?
254;08/03/2011;Arsenal F.C.;Camp Nou;3-1208?;2 (1-0, 3-1);45+3, 71;z, p;Iniesta;-;-;Liga de Campeones 2010/11 1/8 Vuelta; 50';;;;2010/11188?
514;23/02/2016;Arsenal F.C.;Emirates;2-0412?;2;73, 81;z, p;Neymar;;-;Liga de Campeones 2015/16 1/8 Ida;;;;90;2015/16391?
519;16/03/2016;Arsenal F.C.;Camp Nou;3-1415?;1 (3-1);88;z;;;-;Liga de Campeones 2015/16 1/8 Vuelta;;;;90;2015/16391?
25;15/01/2006;Athletic Club;Camp Nou;2-128?;1 (2-1);51;r;;;-;La Liga 2005/06 Jornada 19; 83';;;82;2005/0613?
43;30/09/2006;Athletic Club;San Mamés;3-147?;-;-;-;-;-;-;La Liga 2006/07 Jornada 5;;;;90;2006/0739?
53;25/02/2007;Athletic Club;Camp Nou;3-057?;;;-;;-;-;La Liga 2006/07 Jornada 24;  ?';;;24;2006/0739?
72;02/09/2007;Athletic Club;Camp Nou;3-177?;-;;-;;-;-;La Liga 2007/08 Jornada 2;;;;;2007/0876?
93;27/01/2008;Athletic Club;San Mamés;1-198?;;;-;;-;-;La Liga 2007/08 Jornada 21;;;;;2007/0876?
146;07/03/2009;Athletic Club;Camp Nou;2-0145?;1 (2-0);32;p;;-;-;Liga BBVA 2008/09 Jornada 26;;;;;2008/09117?
160;13/05/2009;Athletic Club;Mestalla;4-1153?;1 (2-1);55;z;;1;58;Copa del Rey 2008/09 Final;;;Bojan;;2008/09117?
162;23/08/2009;Athletic Club;Camp Nou;3-0155?;2 (1-0, 2-0);50, 68;d, p;Ibrahimovi?;-;-;Supercopa de España 2009 Vuelta;;;;;2009/10156?
178;21/11/2009;Athletic Club;San Mamés;1-1166?;;;-;;-;-;Liga BBVA 2009/10 Jornada 11; 75';;;;2009/10156?
203;03/04/2010;Athletic Club;Camp Nou;4-1180?;1 (4-0);67;z;Pedro;-;-;Liga BBVA 2009/10 Jornada 30;;;;;2009/10156?
238;21/12/2010;Athletic Club;Camp Nou;0-0202?;-;-;-;-;-;-;Copa del Rey 2010/11 Octavos Ida; 54';;-;;2010/11188?
239;05/01/2011;Athletic Club;San Mamés;1-1203?;;;-;;1;75;Copa del Rey 2010/11 Octavos Vuelta;;;Abidal;;2010/11188?
250;20/02/2011;Athletic Club;Camp Nou;02-ene;1 (2-1);78;d;Dani Alves;-;-;Liga BBVA 2010/11 Jornada 24;;;;;2010/11188?
287;06/11/2011;Athletic Club;San Mamés;2-2231?;1 (2-2);90+1;r;;-;-;Liga BBVA 2011/12 Jornada 12;;;;;2011/12218?
317;31/03/2012;Athletic Club;Camp Nou;2-0255?;1 (2-0);58;p;;1;40;Liga BBVA 2011/12 Jornada 31;;;Iniesta;;2011/12218?
329;25/05/2012;Athletic Club;Vicente Calderón;3-0;1 (2-0);20;d;Iniesta;-;-;Copa del Rey 2011/12 Final;;;;;2011/12218?
350;01/12/2012;Athletic Club;Camp Nou;05-ene;2 (2-0, 5-1);25, 70;z, d;Xavi, Pedro;-;-;Liga BBVA 2012/13 Jornada 14;;;;;2012/13263?
377;27/04/2013;Athletic Club;San Mamés;2-2291?;1 (2-1);67;z;;1;69;Liga BBVA 2012/13 Jornada 33; 58';;Alexis;;2012/13263?
421;21/04/2014;Athletic Club;Camp Nou;2-1335?;1 (2-1);74;TL;-;-;-;Liga BBVA 2013/14 Jornada 34;-;;-;90;2013/14294?
428;13/09/2014;Athletic Club;Camp Nou;2-0343?;-;-;-;-;2;79, 84;Liga BBVA 2014/15 Jornada 3;;;Neymar (2);90;2014/15341?
456;08/02/2015;Athletic Club;San Mamés;5-2370?;1 (1-0);15;TL;;2;64;Liga BBVA 2014/15 Jornada 22;;;Luis Suárez, Neymar;90;2014/15341?
481;30/05/2015;Athletic Club;Camp Nou;3-1388?;2 (1-0, 3-0);20, 74;z (2);Dani Alves;;-;Copa del Rey 2014/15 Final;;;;90;2014/15341?
484;14/08/2015;Athletic Club;San Mamés;0-4392?;-;-;;;;-;Supercopa de España 2015 Ida;;;;90;2015/16391?
485;18/08/2015;Athletic Club;Camp Nou;1-1393?;1;43;;Luis Suárez;;-;Supercopa de España 2015 Vuelta;;;;90;2015/16391?
486;23/08/2015;Athletic Club;San Mamés;1-0394?;-;-;;;;-;Liga BBVA 2015/16 Jornada 1;;;;90;2015/16391?
505;17/01/2016;Athletic Club;Camp Nou;6-0;1 (1-0);7;p;;;-;Liga BBVA 2015/16 Jornada 20;;;;45;2015/16391?
507;27/01/2016;Athletic Club;Camp Nou;03-ene;-;-;;;1;53;Copa del Rey 2015/16 Cuartos Vuelta;;;Luis Suárez;90;2015/16391?
535;28/08/2016;Athletic Club;San Mamés;1-0426?;-;-;;;;-;LaLiga Santander 2016/17 Jornada 2;;;;90;2016/17424?
552;05/01/2017;Athletic Club;San Mamés;1-2442?;1 (1-2);52;TL;;;;Copa del Rey 2016-17 Octavos Ida;;;;90;2016/17424?
554;11/01/2017;Athletic Club;Camp Nou;3-1444?;1 (3-1);78;TL;;;;Copa del Rey 2016-17 Octavos Vuelta;;;;90;2016/17424?
561;04/02/2017;Athletic Club;Camp Nou;3-0451?;1 (2-0);40;TL;;;;LaLiga Santander 2016/17 Jornada 21; 64 S. Roberto';;;64;2016/17424?
598;28/10/2017;Athletic Club;San Mamés;2-0486?;1 (1-0);36;z;Jordi Alba;;;LaLiga Santander 2017-18 Jornada 10;;;;90;2017/18475?
626;18/03/2018;Athletic Club;Camp Nou;2-0;1 (2-0);30;z;Dembélé;;;LaLiga Santander 2017-18 Jornada 28;;;;90;2017/18475?
646;29/09/2018;Athletic Club;Camp Nou;01-ene;;;;;1;84;LaLiga Santander 2018-19 Jornada 7; 55 Ar. Vidal';;Munir;;2018/19512?
666;10/02/2019;Athletic Club;San Mamés;0-0528?;-;-;-;-;-;-;LaLiga Santander 2018-19 Jornada 23;-;;-;90;2018/19512?
712;06/02/2020;Athletic Club;San Mamés;0-1564?;-;-;-;-;-;-;Copa del Rey 2019-20 Cuartos de final;;;-;90;2019/20544?
722;23/06/2020;Athletic Club;Camp Nou;1-0;;;;;1;71;LaLiga Santander 2019-20 Jornada 31;;;;;2019/20544?
751;6.1.2021;Athletic Club;San Mamés;3-2589?;2 (2-1, 3-1);38, 62;z (2);Pedri, Griezmann;;;LaLiga Santander 2020-21 Jornada 2;;;;90;2020/21578?
753;17.1.2021;Athletic Club;La Cartuja;2-3590?;;;;;;;Supercopa de España 2021 Final; 120;;;120;2020/21578?
755;31.1.2021;Athletic Club;Camp Nou;02-ene;1 (1-0);20;TL;;;;LaLiga Santander 2020-21 Jornada 21;;;;90;2020/21578?
771;17.4.2021;Athletic Club;La Cartuja;4-0604?;2;68, 72;z (2);de Jong, Jordi Alba;;;Copa del Rey 2020-21 Final;;;;90;2020/21578?
855;25.7.2023;Atlanta United;DRV PNK Stadium;4-0;2;;;Robert Taylor;;;Leagues Cup 2023 FG;;;;;2023610?
183;16/12/2009;Atlante;Sheikh Zayed;03-ene;1 (2-1);55;z;Ibrahimovi?;-;-;Mundial de Clubes 2009 Semifinales; 53';;;;2009/10156?
30;05/02/2006;Atlético de Madrid;Camp Nou;1-333?;-;-;-;-;;-;La Liga 2005/06 Jornada 22; 45';;;45;2005/0613?
67;20/05/2007;Atlético de Madrid;Vicente Calderón;6-071?;2;39, 80 (1-0, 5-0);z (2);, Eto'o, van Bronckhorst;-;-;La Liga 2006/07 Jornada 35;;;;90;2006/0739?
78;07/10/2007;Atlético de Madrid;Camp Nou;3-083?;1 (2-0);19;z;Ronaldinho;-;-;La Liga 2007/08 Jornada 7;;;;;2007/0876?
101;01/03/2008;Atlético de Madrid;Vicente Calderón;2-4106?;;;-;;-;-;La Liga 2007/08 Jornada 26; 56';;;;2007/0876?
118;04/10/2008;Atlético de Madrid;Camp Nou;6-1124?;1 (3-0);9;TL;;-;-;Liga BBVA 2008/09 Jornada 6; 69';;;;2008/09117?
131;06/01/2009;Atlético de Madrid;Vicente Calderón;3-1137?;3 (1-0, 2-0, 3-1);13, 57, 80;z, p, d;Iniesta, Alves;-;-;Copa del Rey 2008/09 Octavos Ida; 81';;;;2008/09117?
133;14/01/2009;Atlético de Madrid;Camp Nou;2-1139?;;;-;;-;-;Copa del Rey 2008/09 Octavos Vuelta; 71';;;;2008/09117?
144;01/03/2009;Atlético de Madrid;Vicente Calderón;3-4144?;1 (2-0);30;z;Henry;-;-;Liga BBVA 2008/09 Jornada 25;;;;;2008/09117?
166;19/09/2009;Atlético de Madrid;Camp Nou;5-2159?;2 (2-0, 5-2);16, 90+4;z, d;Xavi, Dani Alves;1 (4-0);41;Liga BBVA 2009/10 Jornada 3;;;Keita;;2009/10156?
192;14/02/2010;Atlético de Madrid;Vicente Calderón;1-2175?;;;-;;-;-;Liga BBVA 2009/10 Jornada 22;;;;;2009/10156?
220;19/09/2010;Atlético de Madrid;Vicente Calderón;2-1191?;1 (1-0);13;z;Pedro;1;33;Liga BBVA 2010/11 Jornada 3; 90';;Piqué;;2010/11188?
247;05/02/2011;Atlético de Madrid;Camp Nou;3-0205?;3;17, 28, 79;z (2), r;Alves;-;-;Liga BBVA 2010/11 Jornada 22;;;;;2010/11188?
278;24/09/2011;Atlético de Madrid;Camp Nou;5-0225?;3 (3-0, 4-0, 5-0);26, 78, 90+1;z (3);Pedro, Villa;-;-;Liga BBVA 2011/12 Jornada 6;;;;;2011/12218?
310;26/02/2012;Atlético de Madrid;Vicente Calderón;2-1250?;1 (2-1);82;TL;;-;-;Liga BBVA 2011/12 Jornada 25;;;;;2011/12218?
354;16/12/2012;Atlético de Madrid;Camp Nou;4-1278?;2 (3-1, 4-1);57, 88;z (2);Alexis;-;-;Liga BBVA 2012/13 Jornada 16;;;;;2012/13263?
379;12/05/2013;Atlético de Madrid;Vicente Calderón;2-1292?;-;-;-;-;-;-;Liga BBVA 2012/13 Jornada 35;-;;-;90;2012/13263?
381;21/08/2013;Atlético de Madrid;Vicente Calderón;1-1295?;-;-;-;-;-;-;Supercopa de España 2013 Ida; 45 Fábregas';;-;45;2013/14294?
382;28/08/2013;Atlético de Madrid;Camp Nou;0-0296?;-;-;-;-;-;-;Supercopa de España 2013 Vuelta;-;;-;90;2013/14294?
397;11/01/2014;Atlético de Madrid;Vicente Calderón;0-0311?;-;-;-;-;-;-;Liga BBVA 2013/14 Jornada 19; 46 Iniesta';;-;45;2013/14294?
416;01/04/2014;Atlético de Madrid;Camp Nou;1-1330?;-;-;-;;-;-;Liga de Campeones 2013/14 CF Ida;-;Thibaut Courtois;-;90;2013/14294?
418;09/04/2014;Atlético de Madrid;Vicente Calderón;0-1332?;-;-;-;-;-;-;Liga de Campeones 2013/14 CF Vuelta;-;Thibaut Courtois;-;90;2013/14294?
425;17/05/2014;Atlético de Madrid;Camp Nou;1-1339?;-;-;-;-;1 (1-0);34;Liga BBVA 2013/14 Jornada 38;;;Alexis;90;2013/14294?
450;11/01/2015;Atlético de Madrid;Camp Nou;3-1365?;1 (3-1);87;z;;1;35;Liga BBVA 2014/15 Jornada 18;;;Luis Suárez;90;2014/15341?
452;21/01/2015;Atlético de Madrid;Camp Nou;1-0367?;1;85;rp;;;-;Copa del Rey 2014/15 Cuartos Ida;;;;90;2014/15341?
454;28/01/2015;Atlético de Madrid;Vicente Calderón;3-2369?;-;-;;;;-;Copa del Rey 2014/15 Cuartos Vuelta;;;;90;2014/15341?
479;17/05/2015;Atlético de Madrid;Vicente Calderón;1-0387?;1;65;z;Pedro;;-;Liga BBVA 2014/15 Jornada 37;;;;90;2014/15341?
488;12/09/2015;Atlético de Madrid;Vicente Calderón;2-1395?;1 (2-1);77;z;Luis Suárez;;-;Liga BBVA 2015/16 Jornada 3;;;;30;2015/16391?
508;30/01/2016;Atlético de Madrid;Camp Nou;2-1409?;1 (1-1);30;z;Jordi Alba;;-;Liga BBVA 2015/16 Jornada 22;;;;90;2015/16391?
522;05/04/2016;Atlético de Madrid;Camp Nou;2-1417?;-;-;;;;-;Liga de Campeones 2015/16 CF Ida;;;;90;2015/16391?
524;13/04/2016;Atlético de Madrid;Vicente Calderón;0-2419?;-;-;;;;-;Liga de Campeones 2015/16 CF Vuelta;;Jan Oblak;;90;2015/16391?
539;21/09/2016;Atlético de Madrid;Camp Nou;1-1430?;-;-;;;;;LaLiga Santander 2016/17 Jornada 5; 59' Arda;;;59;2016/17424?
560;01/02/2017;Atlético de Madrid;Vicente Calderón;2-1450?;1 (2-0);33;z;Rakitic;;;Copa del Rey 2016-17 Semifinales Ida;;;;90;2016/17424?
562;07/02/2017;Atlético de Madrid;Camp Nou;1-1452?;;;;;;;Copa del Rey 2016-17 Semifinales Vuelta;;;;90;2016/17424?
566;26/02/2017;Atlético de Madrid;Vicente Calderón;2-1456?;1 (2-1);87;r;;;;LaLiga Santander 2016/17 Jornada 24;;;;90;2016/17424?
595;14/10/2017;Atlético de Madrid;Metropolitano;1-1483?;;;;;;;LaLiga Santander 2017-18 Jornada 8;;;;90;2017/18475?
624;04/03/2018;Atlético de Madrid;Camp Nou;1-0501?;1;26;TL;;;;LaLiga Santander 2017-18 Jornada 27; 30';;;90;2017/18475?
651;24/11/2018;Atlético de Madrid;Metropolitano;1-1520?;;;;;1 (1-1);90;LaLiga Santander 2018-19 Jornada 13;;;Dembélé;;2018/19512?
677;06/04/2019;Atlético de Madrid;Camp Nou;2-0537?;1 (2-0);87;z;-;-;-;LaLiga Santander 2018-19 Jornada 31;-;;-;90;2018/19512?
701;01/12/2019;Atlético de Madrid;Metropolitano;1-0554?;1;86;z;Luis Suárez;-;-;LaLiga Santander 2019-20 Jornada 15;-;;-;90;2019/20544?
707;09/01/2020;Atlético de Madrid;King Abdullah;2-3559?;1 (1-1);51;d;Luis Suarez;-;-;Supercopa de España 2020 Semifinales;-;;-;90;2019/20544?
724;30/06/2020;Atlético de Madrid;Camp Nou;2-2574?;1 (2-1);50;p;;;;LaLiga Santander 2019-20 Jornada 33;;;;;2019/20544?
742;21/11/2020;Atlético de Madrid;Metropolitano;0-1585?;;;;;;;LaLiga Santander 2020-21 Jornada 10;;Jan Oblak;;90;2020/21578?
776;8.5.2021;Atlético de Madrid;Camp Nou;0-0607?;;;;;;;LaLiga Santander 2020-21 Jornada 35;;;;;2020/21578?
851;21.5.2023;Auxerre;Abbé-Deschamps;02-ene;;;;;;;Ligue 1 2022-23 Jornada 36;;;;;2022-23609?
549;06/12/2016;B. Monchengladbach;Camp Nou;4-0439?;1 (1-0);16;z;Arda Turan;;;Liga de Campeones 2016/17 FG J6;;;;90;2016/17424?
279;28/09/2011;BATE Borisov;Dinamo de Minsk;5-0226?;2 (3-0, 4-0);38, 55;C, z;Alves;-;-;Liga de Campeones 2011/12 J2 FG;;;;;2011/12218?
308;14/02/2012;Bayer Leverkusen;BayArena;3-1248?;1 (3-1);88;z;Dani Alves;1;41;Liga de Campeones 2011/12 1/8 Ida;;;;90;2011/12218?
311;07/03/2012;Bayer Leverkusen;Camp Nou;7-1251?;5 (1-0, 2-0, 3-0, 5-0, 7-0);25, 42, 49, 58, 84;z (2)d, r, z;Xavi, Iniesta, Fábregas, Keita;-;-;Liga de Campeones 2011/12 1/8 Vuelta;;;;;2011/12218?
497;09/12/2015;Bayer Leverkusen;BayArena;1-1403?;1;20;d;Rakitic;;-;Liga de Campeones 2015/16 FG;;;;90;2015/16391?
151;08/04/2009;Bayern Múnich;Camp Nou;4-0147?;2 (1-0, 3-0);38, 9;z, d;Henry, Eto'o;1;12;Liga de Campeones 2008/09 CF Ida;;;Eto'o;;2008/09117?
153;14/04/2009;Bayern Múnich;Allianz Arena;1-1148?;;;-;;-;-;Liga de Campeones 2008/09 CF Vuelta;;;;;2008/09117?
376;23/04/2013;Bayern Múnich;Allianz Arena;0-4290?;-;-;-;-;-;-;Liga de Campeones 2012/13 SF Ida;;Manuel Neuer;-;;2012/13263?
476;06/05/2015;Bayern Múnich;Camp Nou;3-0385?;2 (1-0, 2-0);77, 80;z, d;Dani Alves, Rakitic;1 (3-0);90+4;Liga de Campeones 2014/15 SF Ida;;;Neymar;90;2014/15341?
478;12/05/2015;Bayern Múnich;Allianz Arena;2-3386?;-;-;;;;-;Liga de Campeones 2014/15 SF Vuelta;;;;90;2014/15341?
731;14/08/2020;Bayern Múnich;Da Luz;2-8577?;;;;;;;Liga de Campeones 2019-20 Cuartos;;Manuel Neuer;;90;2019/20544?
838;14.2.2023;Bayern Múnich;Parc des Princes;0-1;;;;;;;Liga de Campeones 2022-23 1/8 Ida;;;;;2022-23609?
842;8.3.2023;Bayern Múnich;Allianz Arena;0-2;;;;;;;Liga de Campeones 2022-23 1/8 Vuelta;;;;;2022-23609?
124;12/11/2008;Benidorm C.D.;Camp Nou;1-0130?;1;87;r;;-;-;Copa del Rey 2008/09 1/16 Vuelta;;;;;2008/09117?
688;17/09/2019;Borussia Dortmund;Signal Iduna Park;0-0543?;-;-;-;-;-;-;Liga de Campeones 2019-20 FG J1; 59 Ansu Fati';;-;31;2019/20544?
700;27/11/2019;Borussia Dortmund;Camp Nou;3-1553?;1 (2-0);33;z;Luis Suárez;2;29, 67;Liga de Campeones 2019-20 FG J5; 51';;Luis Suárez, Griezmann;90;2019/20544?
538;17/09/2016;C. D. Leganés;Butarque;5-1429?;2 (1-0, 4-0);15, 55;z, p;Luis Suárez;1;31;LaLiga Santander 2016/17 Jornada 4;;;Luis Suárez;90;2016/17424?
565;19/02/2017;C. D. Leganés;Camp Nou;2-1455?;2 (1-0, 2-1);4, 89;d, p;Luis Suárez;;;LaLiga Santander 2016/17 Jornada 23;;;;90;2016/17424?
629;07/04/2018;C. D. Leganés;Camp Nou;3-1505?;3 (1-0, 2-0, 3-0);27,32,87;TL, z (2);Coutinho, Dembélé;;;LaLiga Santander 2017-18 Jornada 31;;;;90;2017/18475?
645;26/09/2018;C. D. Leganés;Butarque;1-2516?;;;;;1;12;LaLiga Santander 2018-19 Jornada 6;;;Coutinho;;2018/19512?
661;20/01/2019;C. D. Leganés;Camp Nou;03-ene;1 (3-1);92;d;Jordi Alba;-;-;LaLiga Santander 2018-19 Jornada 20; 64 Arthur';;-;26;2018/19512?
699;23/11/2019;C. D. Leganés;Butarque;02-ene;-;-;-;-;1;53;LaLiga Santander 2019-20 Jornada 14;-;;Luis Suárez;90;2019/20544?
710;30/01/2020;C. D. Leganés;Camp Nou;5-0562?;2 (3-0, 5-0);59, 89;z (2);Rakitic;1;27;Copa del Rey 2019-20 Octavos de final;-;;Lenglet;90;2019/20544?
720;16/06/2020;C. D. Leganés;Camp Nou;2-0571?;1 (2-0);69;p;;;;LaLiga Santander 2019-20 Jornada 29;;;;;2019/20544?
2;24/10/2004;C.A. Osasuna;Camp Nou;3-04?;-;-;-;-;-;-;La Liga 2004/05 Jornada 8; 72' Ronaldinho;;-;18;2004/053?
14;22/10/2005;C.A. Osasuna;Camp Nou;3-017?;-;-;-;-;-;-;La Liga 2005/06 Jornada 8; 63';;-;90;2005/0613?
39;09/09/2006;C.A. Osasuna;Camp Nou;3-043?;1 (3-0);37;z;Eto'o;-;-;La Liga 2006/07 Jornada 2;;;;90;2006/0739?
95;05/02/2008;C.A. Osasuna;Camp Nou;1-0100?;;;-;;-;-;La Liga 2007/08 Jornada 22; 67';;;;2007/0876?
132;11/01/2009;C.A. Osasuna;El Sadar;3-2138?;1 (3-2);;z;;1 (1-0);45;Liga BBVA 2008/09 Jornada 18;;;Eto'o;;2008/09117?
174;31/10/2009;C.A. Osasuna;El Sadar;01-ene;;;-;;-;-;Liga BBVA 2009/10 Jornada 9;;;;;2009/10156?
200;24/03/2010;C.A. Osasuna;Camp Nou;2-0;;;-;;-;-;Liga BBVA 2009/10 Jornada 28;;;;;2009/10156?
234;04/12/2010;C.A. Osasuna;El Sadar;3-0;2 (2-0, 3-0);65, 83;z, p;Villa;1 (1-0);26;Liga BBVA 2010/11 Jornada 14;;;Pedro;;2010/11188?
263;23/04/2011;C.A. Osasuna;Camp Nou;2-0;1 (2-0);87;d;;-;-;Liga BBVA 2010/11 Jornada 33; 57';;;;2010/11188?
276;17/09/2011;C.A. Osasuna;Camp Nou;8-0;3 (1-0, 5-0, 8-0)223?;5, 41, 79;z (3);Alves ,Fábregas, Villa;2;;Liga BBVA 2011/12 Jornada 4;;;Xavi, Fábregas;;2011/12218?
296;04/01/2012;C.A. Osasuna;Camp Nou;4-0;2 (3-0, 4-0);73, 90+2;c, z;Fábregas, Xavi;-;-;Copa del Rey 2011/12 Octavos Ida; 59';;;;2011/12218?
298;12/01/2012;C.A. Osasuna;Navarra;2-1239?;;;-;;1;72;Copa de Rey 2011/12 Octavos Vuelta; 58';;Sergi Roberto;;2011/12218?
307;11/02/2012;C.A. Osasuna;El Sadar;2-3247?;;;-;;-;-;Liga BBVA 2011/12 Jornada 23;;Andrés Fernández;;;2011/12218?
332;26/08/2012;C.A. Osasuna;El Sadar;2-1265?;2;76, 80;z (2);Alexis, Jordi Alba;-;-;Liga BBVA 2012/13 Jornada 2;;;;;2012/13263?
361;27/01/2013;C.A. Osasuna;Camp Nou;5-1280?;4 (1-0, 2-1, 4-1, 5-1);11, 28, 56, 58;d, p, z (2);Xavi, Villa, Adriano;-;-;Liga BBVA 2012/13 Jornada 21;;;;;2012/13263?
389;19/10/2013;C.A. Osasuna;El Sadar;0-0303?;-;-;-;-;-;-;Liga BBVA 2013/14 Jornada 9; 67 Xavi';;-;23;2013/14294?
412;16/03/2014;C.A. Osasuna;Camp Nou;7-0326?;3 (1-0, 4-0, 6-0);18, 63, 88;z (2), d;Alexis, Iniesta, Dani Alves;1 (7-0);90;Liga BBVA 2013/14 Jornada 28;-;;Pedro;90;2013/14294?
550;10/12/2016;C.A. Osasuna;El Sadar;3-0440?;2 (2-0, 3-0);72, 90+2;z (2);Jordi Alba;;;LaLiga Santander 2016/17 Jornada 15;;;;90;2016/17424?
578;26/04/2017;C.A. Osasuna;Camp Nou;7-1468?;2 (1-0, 4-1);12, 61;z (2);Rakitic;;;LaLiga Santander 2016/17 Jornada 34;;;;90;2016/17424?
728;16/07/2020;C.A. Osasuna;Camp Nou;1-2575?;1 (1-1);62;TL;;;;LaLiga Santander 2019-20 Jornada 37;;;;;2019/20544?
